Basket ID,Basket Display Name,Status,Reviewed On,Reviewed,On,Reviewed By
29309,Sexual abuse -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 12:11:45,6/14/2017,12:11:45,Alex
29305,Sex tourism -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 12:01:49,6/14/2017,12:01:49,Alex
29264,Regulation of prostitution -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 11:54:56,6/14/2017,11:54:56,Alex
29261,"Refugees, Convention Against Sexual Exploitation","Reviewed, Changed",6/14/2017 11:53:36,6/14/2017,11:53:36,Alex
29249,Rape -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 11:52:48,6/14/2017,11:52:48,Alex
29176,Pornography -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 11:52:25,6/14/2017,11:52:25,Alex
29073,"Mutilation, Convention Against Sexual Exploitation","Reviewed, Changed",6/14/2017 11:52:02,6/14/2017,11:52:02,Alex
29064,Military prostitution -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 11:51:37,6/14/2017,11:51:37,Alex
29060,Men's rights -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 11:50:32,6/14/2017,11:50:32,Alex
29042,Marriage -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 11:48:19,6/14/2017,11:48:19,Alex
29023,Mail-order brides -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 11:47:37,6/14/2017,11:47:37,Alex
28938,"Income support, Convention Against Sexual Exploitation","Reviewed, Changed",6/14/2017 11:45:50,6/14/2017,11:45:50,Alex
28931,Incest abuse -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 11:44:52,6/14/2017,11:44:52,Alex
28928,Immigrant women -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 11:43:56,6/14/2017,11:43:56,Alex
28909,"Housing assistance, Convention Against Sexual Exploitation","Reviewed, Changed",6/14/2017 11:42:53,6/14/2017,11:42:53,Alex
28902,Homelessness -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 11:42:22,6/14/2017,11:42:22,Alex
28892,HIV virus -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 11:41:50,6/14/2017,11:41:50,Alex
28879,"Health care, Convention Against Sexual Exploitation","Reviewed, Changed",6/14/2017 11:41:13,6/14/2017,11:41:13,Alex
28793,"Employment, Convention Against Sexual Exploitation","Reviewed, Changed",6/14/2017 11:40:39,6/14/2017,11:40:39,Alex
28788,Education programs -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 11:38:14,6/14/2017,11:38:14,Alex
28780,Economic development -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/14/2017 11:37:33,6/14/2017,11:37:33,Alex
28768,"Dowry and bride price, Convention Against Sexual Exploitation","Reviewed, Changed",6/14/2017 11:36:33,6/14/2017,11:36:33,Alex
28730,"Day care, Convention Against Sexual Exploitation","Reviewed, Changed",6/14/2017 11:35:47,6/14/2017,11:35:47,Alex
28720,"Credit loans, Convention Against Sexual Exploitation","Reviewed, Changed",6/13/2017 17:41:43,6/13/2017,17:41:43,Alex
28713,"Counseling, Convention Against Sexual Exploitation","Reviewed, Changed",6/13/2017 17:40:53,6/13/2017,17:40:53,Alex
28701,Convention Against Sexual Exploitation -- 1994 draft,"Reviewed, Changed",6/13/2017 17:39:57,6/13/2017,17:39:57,Alex
28657,Children -- Convention Against Sexual Exploitation,"Reviewed, Changed",6/13/2017 17:39:05,6/13/2017,17:39:05,Alex
28619,"Battering, Convention Against Sexual Exploitation","Reviewed, Changed",6/13/2017 17:37:39,6/13/2017,17:37:39,Alex
7448,youth commentary projects -- Hip-Hop Journalism class and,"Reviewed, Changed",6/12/2017 17:16:01,6/12/2017,17:16:01,Alex
7246,probing principle of learning -- in Hip-Hop Journalism class,"Reviewed, Changed",6/12/2017 17:15:27,6/12/2017,17:15:27,Alex
7224,photography projects -- in Hip-Hop Journalism class,"Reviewed, Changed",6/12/2017 17:14:56,6/12/2017,17:14:56,Alex
7110,Hip-Hop Journalism class -- Youth Radio and,"Reviewed, Changed",6/12/2017 17:14:28,6/12/2017,17:14:28,Alex
7109,Hip-Hop Journalism class -- warm-up activities in,"Reviewed, Changed",6/12/2017 17:14:01,6/12/2017,17:14:01,Alex
7108,Hip-Hop Journalism class -- video projects in,"Reviewed, Changed",6/12/2017 17:13:09,6/12/2017,17:13:09,Alex
7107,Hip-Hop Journalism class -- technology resources for,"Reviewed, Changed",6/12/2017 17:12:40,6/12/2017,17:12:40,Alex
7106,Hip-Hop Journalism class -- teaching practices in,"Reviewed, Changed",6/12/2017 17:12:22,6/12/2017,17:12:22,Alex
7105,Hip-Hop Journalism class -- teacher in,"Reviewed, Changed",6/12/2017 17:12:07,6/12/2017,17:12:07,Alex
7104,Hip-Hop Journalism class -- students in,"Reviewed, Changed",6/12/2017 17:11:50,6/12/2017,17:11:50,Alex
7103,Hip-Hop Journalism class -- student reflections on,"Reviewed, Changed",6/12/2017 17:11:32,6/12/2017,17:11:32,Alex
7102,Hip-Hop Journalism class -- structure of,"Reviewed, Changed",6/12/2017 17:10:57,6/12/2017,17:10:57,Alex
7101,Hip-Hop Journalism class -- relationship-building in,"Reviewed, Changed",6/12/2017 17:10:45,6/12/2017,17:10:45,Alex
7100,Hip-Hop Journalism class -- project-based learning in,"Reviewed, Changed",6/12/2017 17:10:23,6/12/2017,17:10:23,Alex
7099,Hip-Hop Journalism class -- PowerPoint presentations in,"Reviewed, Changed",6/12/2017 17:09:55,6/12/2017,17:09:55,Alex
7098,Hip-Hop Journalism class -- podcasts created in,"Reviewed, Changed",6/12/2017 17:09:37,6/12/2017,17:09:37,Alex
7097,Hip-Hop Journalism class -- new learning principles and,"Reviewed, Changed",6/12/2017 17:08:29,6/12/2017,17:08:29,Alex
7096,Hip-Hop Journalism class -- material intelligence utilized in,"Reviewed, Changed",6/12/2017 17:07:38,6/12/2017,17:07:38,Alex
7095,Hip-Hop Journalism class -- magazine project in,"Reviewed, Changed",6/12/2017 17:07:19,6/12/2017,17:07:19,Alex
7094,Hip-Hop Journalism class -- linking with current issues,"Reviewed, Changed",6/12/2017 17:06:52,6/12/2017,17:06:52,Alex
7093,Hip-Hop Journalism class -- linking with academic literacy standards,"Reviewed, Changed",6/12/2017 17:06:28,6/12/2017,17:06:28,Alex
7092,Hip-Hop Journalism class -- learning in,"Reviewed, Changed",6/12/2017 17:05:56,6/12/2017,17:05:56,Alex
7091,Hip-Hop Journalism class -- joint productive activity in,"Reviewed, Changed",6/12/2017 17:05:26,6/12/2017,17:05:26,Alex
7090,Hip-Hop Journalism class -- extension beyond classroom,"Reviewed, Changed",6/12/2017 17:04:14,6/12/2017,17:04:14,Alex
7089,Hip-Hop Journalism class -- documentation of,"Reviewed, Changed",6/12/2017 17:03:57,6/12/2017,17:03:57,Alex
7088,Hip-Hop Journalism class -- day-to-day activities in,"Reviewed, Changed",6/12/2017 17:03:34,6/12/2017,17:03:34,Alex
7087,Hip-Hop Journalism class -- computer work in,"Reviewed, Changed",6/12/2017 17:01:53,6/12/2017,17:01:53,Alex
7086,Hip-Hop Journalism class -- choice of title for,"Reviewed, Changed",6/12/2017 17:01:31,6/12/2017,17:01:31,Alex
7085,Hip-Hop Journalism class -- blog creation in,"Reviewed, Changed",6/12/2017 17:01:17,6/12/2017,17:01:17,Alex
7084,Hip-Hop Journalism class -- background for,"Reviewed, Changed",6/12/2017 17:00:54,6/12/2017,17:00:54,Alex
7083,Hip-Hop Journalism class -- assistant in,"Reviewed, Changed",6/12/2017 17:00:38,6/12/2017,17:00:38,Alex
7036,"experience, students' -- using in Hip-Hop Journalism class","Reviewed, Changed",6/12/2017 16:57:16,6/12/2017,16:57:16,Alex
7024,Hip-Hop Journalism class -- student enthusiasm about,"Reviewed, Changed",6/12/2017 16:56:30,6/12/2017,16:56:30,Alex
6983,digital photography -- in Hip-Hop Journalism class,"Reviewed, Changed",6/12/2017 16:52:28,6/12/2017,16:52:28,Alex
6981,digital DJ-ing -- in Hip-Hop Journalism class,"Reviewed, Changed",6/12/2017 16:51:17,6/12/2017,16:51:17,Alex
6961,CREDE principles -- in Hip-Hop Journalism class,"Reviewed, Changed",6/12/2017 16:49:58,6/12/2017,16:49:58,Alex
6904,blogging -- in Hip-Hop Journalism class,"Reviewed, Changed",6/12/2017 16:49:10,6/12/2017,16:49:10,Alex
6876,activity centers -- in Hip-Hop Journalism class,"Reviewed, Changed",6/12/2017 16:48:31,6/12/2017,16:48:31,Alex
3163,Prison Creative Arts Project (PCAP) -- role of Buzz Alexander,"Reviewed, Changed",6/12/2017 14:34:18,6/12/2017,14:34:18,Alex
3991,Prison Creative Arts Project (PCAP) -- poetry workshops,"Reviewed, Changed",6/12/2017 14:31:44,6/12/2017,14:31:44,Alex
4329,Prison Creative Arts Project theater workshops -- Western Wayne Correctional Facility,"Reviewed, Changed",6/12/2017 14:27:46,6/12/2017,14:27:46,Alex
4209,Prison Creative Arts Project theater workshops -- Thumb Correctional Facility,"Reviewed, Changed",6/12/2017 14:24:57,6/12/2017,14:24:57,Alex
4160,Prison Creative Arts Project theater workshops -- Southern Michigan Correctional Facility,"Reviewed, Changed",6/12/2017 14:23:14,6/12/2017,14:23:14,Alex
4043,Prison Creative Arts Project theater workshops -- Southeastern High School,"Reviewed, Changed",6/12/2017 14:20:51,6/12/2017,14:20:51,Alex
4026,Prison Creative Arts Project theater workshops -- Egeler Correctional Facility,"Reviewed, Changed",6/12/2017 14:19:35,6/12/2017,14:19:35,Alex
4296,Prison Creative Arts Project theater workshops -- Vista Maria,"Reviewed, Changed",6/12/2017 14:17:43,6/12/2017,14:17:43,Alex
4047,Prison Creative Arts Project theater workshops -- University of Michigan English 310,"Reviewed, Changed",6/12/2017 14:17:08,6/12/2017,14:17:08,Alex
4046,Prison Creative Arts Project theater workshops -- university facilitators,"Reviewed, Changed",6/12/2017 14:15:17,6/12/2017,14:15:17,Alex
4040,Prison Creative Arts Project theater workshops -- Phoenix School,"Reviewed, Changed",6/12/2017 14:14:28,6/12/2017,14:14:28,Alex
4048,Prison Creative Arts Project theater workshops -- English 319,"Reviewed, Changed",6/12/2017 14:13:36,6/12/2017,14:13:36,Alex
4107,Prison Creative Arts Project theater workshops -- Saginaw Correctional Facility,"Reviewed, Changed",6/12/2017 14:12:01,6/12/2017,14:12:01,Alex
4098,Prison Creative Arts Project theater workshops -- Ryan Correctional Facility,"Reviewed, Changed",6/12/2017 14:09:56,6/12/2017,14:09:56,Alex
4036,Prison Creative Arts Project theater workshops -- Mound Correctional Facility,"Reviewed, Changed",6/12/2017 14:06:25,6/12/2017,14:06:25,Alex
4035,Prison Creative Arts Project theater workshops -- Michigan Reformatory,"Reviewed, Changed",6/12/2017 14:04:55,6/12/2017,14:04:55,Alex
4032,Prison Creative Arts Project theater workshops -- Lakeland Correctional Facility,"Reviewed, Changed",6/12/2017 14:03:48,6/12/2017,14:03:48,Alex
4031,Prison Creative Arts Project theater workshops -- Ionia Maximum Facility,"Reviewed, Changed",6/12/2017 14:02:16,6/12/2017,14:02:16,Alex
4030,Prison Creative Arts Project theater workshops -- Huron Valley Men's Correctional Facility,"Reviewed, Changed",6/12/2017 14:00:59,6/12/2017,14:00:59,Alex
3619,ICF International,"Reviewed, Changed",6/12/2017 13:57:45,6/12/2017,13:57:45,Alex
4025,Prison Creative Arts Project theater workshops -- Dewey Center,"Reviewed, Changed",6/8/2017 12:03:55,6/8/2017,12:03:55,Alex
4024,Prison Creative Arts Project theater workshops -- Crockett Technical High School,"Reviewed, Changed",6/8/2017 12:02:43,6/8/2017,12:02:43,Alex
4023,Prison Creative Arts Project theater workshops -- crisis,"Reviewed, Changed",6/8/2017 11:59:46,6/8/2017,11:59:46,Alex
4022,Prison Creative Arts Project theater workshops -- Cotton Correctional Facility,"Reviewed, Changed",6/8/2017 11:59:06,6/8/2017,11:59:06,Alex
4019,Prison Creative Arts Project theater workshops -- closing,"Reviewed, Changed",6/8/2017 11:57:07,6/8/2017,11:57:07,Alex
4018,Prison Creative Arts Project theater workshops -- Catherine Ferguson Academy,"Reviewed, Changed",6/8/2017 11:54:22,6/8/2017,11:54:22,Alex
4017,Prison Creative Arts Project theater workshops -- Calumet Center,"Reviewed, Changed",6/8/2017 11:53:43,6/8/2017,11:53:43,Alex
4016,Prison Creative Arts Project theater workshops -- Boysville,"Reviewed, Changed",6/8/2017 11:52:45,6/8/2017,11:52:45,Alex
4015,Prison Creative Arts Project theater workshops -- Adrian Training School,"Reviewed, Changed",6/8/2017 11:52:06,6/8/2017,11:52:06,Alex
4014,Prison Creative Arts Project theater workshops -- Adrian Temporary correctional facility,"Reviewed, Changed",6/8/2017 11:50:45,6/8/2017,11:50:45,Alex
4038,Prison Creative Arts Project theater workshops -- Parr Highway Correctional Facility,"Reviewed, Changed",6/8/2017 11:46:55,6/8/2017,11:46:55,Alex
4037,Prison Creative Arts Project theater workshops -- Parnall Correctional Facility,"Reviewed, Changed",6/8/2017 11:39:36,6/8/2017,11:39:36,Alex
4034,Prison Creative Arts Project theater workshops -- Maxey Boys Training School,"Reviewed, Changed",6/8/2017 11:37:55,6/8/2017,11:37:55,Alex
4033,Prison Creative Arts Project theater workshops -- Lincoln Center,"Reviewed, Changed",6/8/2017 11:35:57,6/8/2017,11:35:57,Alex
4029,Prison Creative Arts Project theater workshops -- Henry Ford High School,"Reviewed, Changed",6/8/2017 11:35:02,6/8/2017,11:35:02,Alex
4028,Prison Creative Arts Project theater workshops -- Gus Harrison Correctional Facility,"Reviewed, Changed",6/8/2017 11:33:50,6/8/2017,11:33:50,Alex
4021,Prison Creative Arts Project theater workshops -- Cooper Street Correctional Facility,"Reviewed, Changed",6/8/2017 11:26:50,6/8/2017,11:26:50,Alex
4020,Prison Creative Arts Project theater workshops -- Cooley High School,"Reviewed, Changed",6/8/2017 11:21:38,6/8/2017,11:21:38,Alex
3981,Prison Creative Arts Project (PCAP) -- hubs,"Reviewed, Changed",6/8/2017 11:19:25,6/8/2017,11:19:25,Alex
3963,Prison Creative Arts Project (PCAP) -- history,"Reviewed, Changed",6/8/2017 11:18:32,6/8/2017,11:18:32,Alex
3994,Prison Creative Arts Project (PCAP) -- Gus Harrison Correctional Facility,"Reviewed, Changed",6/8/2017 11:18:03,6/8/2017,11:18:03,Alex
3958,Prison Creative Arts Project (PCAP) -- Fourteenth,"Reviewed, Changed",6/8/2017 11:15:33,6/8/2017,11:15:33,Alex
3980,Prison Creative Arts Project (PCAP) -- founders,"Reviewed, Changed",6/8/2017 11:14:44,6/8/2017,11:14:44,Alex
3978,Prison Creative Arts Project (PCAP) -- Florence Crane Women's Facility,"Reviewed, Changed",6/8/2017 11:03:53,6/8/2017,11:03:53,Alex
3481,Prison Creative Arts Project theater workshops -- Florence Crane Women's Facility,"Reviewed, Changed",6/8/2017 11:01:31,6/8/2017,11:01:31,Alex
3952,Prison Creative Arts Project (PCAP) -- Fifth,"Reviewed, Changed",6/8/2017 10:53:37,6/8/2017,10:53:37,Alex
3959,Prison Creative Arts Project (PCAP) -- Fifteenth,"Reviewed, Changed",6/8/2017 10:52:22,6/8/2017,10:52:22,Alex
3979,Prison Creative Arts Project (PCAP) -- failure,"Reviewed, Changed",6/8/2017 10:39:48,6/8/2017,10:39:48,Alex
3954,Prison Creative Arts Project (PCAP) -- Eighth,"Reviewed, Changed",6/8/2017 10:39:22,6/8/2017,10:39:22,Alex
3977,Prison Creative Arts Project (PCAP) -- dance workshops,"Reviewed, Changed",6/8/2017 10:38:57,6/8/2017,10:38:57,Alex
3976,Prison Creative Arts Project (PCAP) -- creative writing workshops,"Reviewed, Changed",6/8/2017 10:38:17,6/8/2017,10:38:17,Alex
3975,Prison Creative Arts Project (PCAP) -- core values,"Reviewed, Changed",6/8/2017 10:36:53,6/8/2017,10:36:53,Alex
3974,Prison Creative Arts Project (PCAP) -- coordinators,"Reviewed, Changed",6/8/2017 10:36:13,6/8/2017,10:36:13,Alex
3973,Prison Creative Arts Project (PCAP) -- concerns,"Reviewed, Changed",6/8/2017 10:32:34,6/8/2017,10:32:34,Alex
4000,Prison Creative Arts Project (PCAP) -- communication with the facility,"Reviewed, Changed",6/8/2017 10:31:59,6/8/2017,10:31:59,Alex
3972,Prison Creative Arts Project (PCAP) -- celebration,"Reviewed, Changed",6/8/2017 10:30:39,6/8/2017,10:30:39,Alex
3993,Prison Creative Arts Project (PCAP) -- Calumet Center,"Reviewed, Changed",6/8/2017 10:29:57,6/8/2017,10:29:57,Alex
11353,"Jenks, Christopher","Reviewed, Changed",6/2/2017 12:21:23,6/2/2017,12:21:23,Alex
3962,Prison Creative Arts Project (PCAP) -- budget,"Reviewed, Changed",6/1/2017 17:24:06,6/1/2017,17:24:06,Alex
3992,Prison Creative Arts Project (PCAP) -- Boysville,"Reviewed, Changed",6/1/2017 17:23:40,6/1/2017,17:23:40,Alex
3961,Prison Creative Arts Project (PCAP) -- beginning,"Reviewed, Changed",6/1/2017 17:23:02,6/1/2017,17:23:02,Alex
3970,Prison Creative Arts Project (PCAP) -- associates,"Reviewed, Changed",6/1/2017 17:22:31,6/1/2017,17:22:31,Alex
3969,Prison Creative Arts Project (PCAP) -- Associate Gathering,"Reviewed, Changed",6/1/2017 17:10:55,6/1/2017,17:10:55,Alex
3968,Prison Creative Arts Project (PCAP) -- art workshops,"Reviewed, Changed",6/1/2017 17:10:11,6/1/2017,17:10:11,Alex
3960,Prison Creative Arts Project (PCAP) -- artists,"Reviewed, Changed",6/1/2017 17:09:01,6/1/2017,17:09:01,Alex
3984,"Prison Creative Arts Project (PCAP) -- ""Are We Community""","Reviewed, Changed",6/1/2017 17:06:54,6/1/2017,17:06:54,Alex
3951,Prison Creative Arts Project (PCAP) -- Annual Exhibition of Art by Michigan Prisoners,"Reviewed, Changed",6/1/2017 17:06:08,6/1/2017,17:06:08,Alex
3950,Prison Creative Arts Project (PCAP) -- Annual Exhibition of Art by incarcerated youth,"Reviewed, Changed",6/1/2017 17:04:45,6/1/2017,17:04:45,Alex
44142,"Hurston, Zora Neale -- on the occult powers of voodoo","Reviewed, Changed",6/1/2017 16:59:48,6/1/2017,16:59:48,Alex
44133,"Hurston, Zora Neale -- commonality of human and nonhuman world in","Reviewed, Changed",6/1/2017 16:44:23,6/1/2017,16:44:23,Alex
15262,"Hurston, Zora Neale -- works -- Their Eyes Were Watching God","Reviewed, Changed",6/1/2017 16:34:30,6/1/2017,16:34:30,Alex
44156,"Hurston, Zora Neale -- works -- Dust Tracks (autobiography)","Reviewed, Changed",6/1/2017 16:33:56,6/1/2017,16:33:56,Alex
44159,"Hurston, Zora Neale -- works -- ""The Inside Light—Being a Salute to Friendship""","Reviewed, Changed",6/1/2017 16:32:59,6/1/2017,16:32:59,Alex
44152,"Hurston, Zora Neale -- authorial voice -- her silences as momentary undoing of the self","Reviewed, Changed",6/1/2017 16:31:24,6/1/2017,16:31:24,Alex
44154,"Hurston, Zora Neale -- authorial voice -- as performative","Reviewed, Changed",6/1/2017 16:27:04,6/1/2017,16:27:04,Alex
44151,"Hurston, Zora Neale -- authorial voice -- as contextual and fragile","Reviewed, Changed",6/1/2017 16:26:12,6/1/2017,16:26:12,Alex
44150,"Hurston, Zora Neale -- authorial voice","Reviewed, Changed",6/1/2017 16:25:02,6/1/2017,16:25:02,Alex
44132,"Hurston, Zora Neale -- as addressing a white audience (view)","Reviewed, Changed",6/1/2017 16:24:36,6/1/2017,16:24:36,Alex
32705,"Clinton, Bill -- record on lesbian and gay rights","Reviewed, Changed",6/1/2017 16:14:58,6/1/2017,16:14:58,Alex
30375,"Clinton, Bill -- lesbian and gay support for","Reviewed, Changed",6/1/2017 16:12:52,6/1/2017,16:12:52,Alex
23884,"Clinton, Bill -- pledge to lift military ban","Reviewed, Changed",6/1/2017 16:12:06,6/1/2017,16:12:06,Alex
30374,"Bush, George, accused by Clinton campaign of McCarthyism","Reviewed, Changed",6/1/2017 16:10:08,6/1/2017,16:10:08,Alex
41452,Clinton administration,"Reviewed, Changed",6/1/2017 16:06:01,6/1/2017,16:06:01,Alex
13864,Stamina -- of William J. Clinton,"Reviewed, Changed",6/1/2017 16:05:11,6/1/2017,16:05:11,Alex
13444,"Policy -- positions of George Bush, William J. Clinton, and Ross Perot","Reviewed, Changed",6/1/2017 16:04:53,6/1/2017,16:04:53,Alex
13333,Needs and motives -- William J. Clinton's,"Reviewed, Changed",6/1/2017 16:03:37,6/1/2017,16:03:37,Alex
13286,Media -- William J. Clinton's candidacy and,"Reviewed, Changed",6/1/2017 16:03:07,6/1/2017,16:03:07,Alex
12960,"Early political roles -- Jimmy Carter, William J. Clinton, and Ronald Reagan's governorships","Reviewed, Changed",6/1/2017 16:01:45,6/1/2017,16:01:45,Alex
12899,Decisions/decision making -- William J. Clinton's,"Reviewed, Changed",6/1/2017 15:58:47,6/1/2017,15:58:47,Alex
12825,"Clinton, William J. -- ""yes and"" approach to public policy","Reviewed, Changed",6/1/2017 15:58:12,6/1/2017,15:58:12,Alex
12824,"Clinton, William J. -- wish to have it both ways","Reviewed, Changed",6/1/2017 15:56:46,6/1/2017,15:56:46,Alex
34707,"Clinton, William J., psychology of -- view of own values","Reviewed, Changed",6/1/2017 15:56:15,6/1/2017,15:56:15,Alex
34706,"Clinton, William J., psychology of -- view of own character integrity","Reviewed, Changed",6/1/2017 15:53:41,6/1/2017,15:53:41,Alex
34705,"Clinton, William J., psychology of -- view of own ambitions","Reviewed, Changed",6/1/2017 15:52:14,6/1/2017,15:52:14,Alex
34704,"Clinton, William J., psychology of -- verbal ability","Reviewed, Changed",6/1/2017 15:51:00,6/1/2017,15:51:00,Alex
34703,"Clinton, William J., psychology of -- use of loopholes","Reviewed, Changed",6/1/2017 15:50:27,6/1/2017,15:50:27,Alex
34702,"Clinton, William J., psychology of -- use of connections","Reviewed, Changed",6/1/2017 15:50:02,6/1/2017,15:50:02,Alex
34701,"Clinton, William J., psychology of -- trust in others","Reviewed, Changed",6/1/2017 15:48:45,6/1/2017,15:48:45,Alex
34700,"Clinton, William J., psychology of -- taking responsibility","Reviewed, Changed",6/1/2017 15:47:51,6/1/2017,15:47:51,Alex
34699,"Clinton, William J., psychology of -- success of, political","Reviewed, Changed",6/1/2017 15:47:22,6/1/2017,15:47:22,Alex
34698,"Clinton, William J., psychology of -- success of, paradoxical consequences","Reviewed, Changed",6/1/2017 15:46:22,6/1/2017,15:46:22,Alex
34697,"Clinton, William J., psychology of -- success of, academic","Reviewed, Changed",6/1/2017 15:45:39,6/1/2017,15:45:39,Alex
34696,"Clinton, William J., psychology of -- success, importance of, to","Reviewed, Changed",6/1/2017 15:44:30,6/1/2017,15:44:30,Alex
34695,"Clinton, William J., psychology of -- substantial talents of","Reviewed, Changed",6/1/2017 15:43:43,6/1/2017,15:43:43,Alex
34694,"Clinton, William J., psychology of -- strategic empathy and","Reviewed, Changed",6/1/2017 15:43:22,6/1/2017,15:43:22,Alex
34692,"Clinton, William J., psychology of -- short-term flexibility of","Reviewed, Changed",6/1/2017 15:42:47,6/1/2017,15:42:47,Alex
34691,"Clinton, William J., psychology of -- sense of own correctness","Reviewed, Changed",6/1/2017 15:42:15,6/1/2017,15:42:15,Alex
34690,"Clinton, William J., psychology of -- sense of being special","Reviewed, Changed",6/1/2017 15:40:38,6/1/2017,15:40:38,Alex
34689,"Clinton, William J., psychology of -- self-imposed deadlines and","Reviewed, Changed",6/1/2017 15:39:36,6/1/2017,15:39:36,Alex
34688,"Clinton, William J., psychology of -- self-idealization","Reviewed, Changed",6/1/2017 15:39:07,6/1/2017,15:39:07,Alex
34687,"Clinton, William J., psychology of -- self-confidence","Reviewed, Changed",6/1/2017 15:37:56,6/1/2017,15:37:56,Alex
34686,"Clinton, William J., psychology of -- self-absorption","Reviewed, Changed",6/1/2017 15:22:07,6/1/2017,15:22:07,Alex
