topic_id,topic_name,name_type
14029,"Fenichel, Otto",Person
14403,"Jones, Ernest",Person
14647,"Debs, Eugene",Person
14661,"Frye, Northrop",Corporation
14762,"""Political correctness""",Person
14853,"Boas, Franz",Person
14938,"Du Bois, W. E. B.",Person
15462,guilt,Person
15553,Assimilation,Person
15969,"Bowers v. Hardwick, 478 U.S. 186 (1986)",Person
16095,marriage,Person
16119,Plessy v. Ferguson,Corporation
16285,Bisexuality,Corporation
16601,repression,Person
17884,"Hegel, Georg W. F.",Person
17925,Christ,Person
18416,"Law, the",Person
19649,"Tolstoy, Count Leo",Corporation
19910,"Hamilton, Alexander",Person
20005,"Madison, James",Person
20300,"Dworkin, Ronald",Person
20431,New Deal,Corporation
20492,"Rawls, John",Person
21157,"Smith, Adam",Person
22707,miscegenation,Person
23335,"Brandeis, Justice Louis D.",Person
27375,"Gadamer, Hans-Georg",Corporation
30275,"Augustine, Saint",Corporation
31238,"Farrakhan, Reverend Louis",Person
32786,heterosexism,Person
35174,"Moynihan, Daniel Patrick",Person
35270,"Burke, Kenneth",Person
35335,"Fiske, John",Person
39489,"Ginsburg, Justice Ruth Bader",Person
46523,American Civil War,Corporation
30,blogs,Person
225,advertising,Corporation
255,Europe,Person
285,immigration,Person
293,Italy,Corporation
505,Department of Labor,Corporation
688,"Lee, Spike",Corporation
765,Mexico,Person
844,National Science Foundation,Person
1028,American Idol,Corporation
1039,"Cameron, James, Avatar",Person
1103,colonialism,Person
1359,misogyny,Person
1622,"Emerson, Ralph Waldo",Person
1627,Flickr,Person
1668,nature,Corporation
1791,Amnesty International,Corporation
1911,human rights,Corporation
1975,McDonald's,Corporation
2009,Nazi Germany,Person
2112,actor-network theory (ANT),Corporation
2160,civil society,Corporation
2186,cultural studies,Corporation
2202,Disney,Person
2340,Networking,Corporation
2409,social change,Person
2535,"Bellow, Saul",Person
2722,"Graves, Robert",Person
2939,"Orwell, George",Person
3021,romanticism,Person
3033,science,Person
3234,Black Panther Party for Self Defense (BPP),Corporation
3283,California,Person
3286,"San Francisco, CA",Person
3310,Centers for Disease Control (CDC),Corporation
3328,"Chomsky, Noam",Corporation
3415,Detroit Free Press,Corporation
3556,Haiti,Corporation
3720,Los Angeles Times,Person
3876,"Obama, Barack",Corporation
3901,"Parks, Rosa",Person
4073,"Reno, janet",Person
4096,Rwanda,Person
4404,"Arnold, Matthew",Person
4443,"Bly, Robert",Person
4476,"Chaucer, Geoffrey",Person
4579,"Fitzgerald, F. Scott",Person
4621,"Hawthorne, Nathaniel",Person
4666,iPhone,Corporation
4719,"Lawrence, D. H.",Person
4782,"Milton, John",Person
4832,object relations theory,Corporation
4848,"Rahv, Philip",Person
4934,"Shelley, Percy Bysshe",Corporation
5552,"Baker, Houston A., Jr.",Person
5699,"Gabel, Peter",Person
5721,"Guinier, Lani",Person
5751,"Hughes, Langston",Person
5782,"Ellison, Ralph: The Invisible Man",Corporation
5804,"Kennedy, Randall",Person
5815,Law and economics,Corporation
5960,"Rorty, Richard",Person
6079,"Baudrillard, Jean",Person
6086,"Bolter, Jay David",Person
6108,computers,Corporation
6144,Environmental Protection Agency,Corporation
6299,"Simmel, Georg",Person
6656,"Hayles, N. Katherine",Person
6819,subjectivities,Corporation
7069,"Guattari, Felix",Corporation
7469,alcoholism,Person
7474,"Althusser, Louis",Person
7560,"Conrad, Joseph",Person
7598,"Dickens, Charles",Person
7730,"Hardy, Thomas",Person
7853,"Nation, The",Person
7896,politics,Person
7952,"Spencer, Herbert",Person
8192,"Gans, Herbert J.",Person
8564,World Wide Web,Corporation
8607,"Aquinas, Saint Thomas",Corporation
8666,Brown University,Corporation
9064,"Lipsitz, George",Person
9147,My Space,Person
9148,National Endowment for the Humanities (NEH),Corporation
9204,Post–structuralism,Person
9495,"Ackerman, Bruce",Person
9558,"Bush, Vannevar",Person
9638,Ford Motor Company,Corporation
9662,"Gitlin, Todd",Person
9691,Hillel the Elder,Corporation
9719,John D. and Catherine T. MacArthur Foundation,Corporation
9809,"""Objectivity""",Corporation
10069,BBC (British Broadcasting Corporation),Corporation
10095,Citizenship,Corporation
10123,"""Coming out""",Corporation
10126,Congress of Racial Equality (CORE),Corporation
10245,"Fine, Michelle",Person
10495,Motivation(s),Person
10584,Proposition,Person
10602,Republican Party,Corporation
10852,"Bhabha, Homi",Corporation
10971,conservatism,Corporation
11049,diversity,Person
11189,Friendship(s),Person
11641,parents,Corporation
11700,resistance,Corporation
11796,self,Person
12073,Characters,Person
12173,"Faulkner, William",Person
12271,"Laing, R. D.",Person
12368,"Rank, Otto",Person
12377,rhetoric,Person
12577,anxiety,Person
12649,Cambodia,Person
12869,"Coolidge, Calvin",Person
12874,Countertransference,Corporation
12938,Disabilities,Person
13072,"Goldwater, Barry",Person
13096,"Gandhi, Mohandas K.",Person
13155,Idealization,Corporation
13259,"Lindsay, John",Person
13279,"McCarthy, Joseph",Person
13353,North American Free Trade Agreement (NAFTA),Corporation
13909,"Truman, Harry",Person
13962,"Adler, Alfred",Person
13969,"Balint, Michael",Person
14296,"Boswell, John E.",Person
14367,"Gilman, Sander L.",Person
14413,"Kierkegaard, Soren",Person
14548,"Swift, Jonathan",Person
14578,"Wordsworth, William",Person
14618,"Brooks, Peter",Person
14651,"D'Souza, Dinesh",Person
14653,"Eagleton, Terry",Person
14680,"Hebdige, Dick",Person
14802,Village Voice,Person
14870,Critical legal studies,Corporation
15102,"Kafka, Franz",Person
15249,"Sowell, Thomas",Person
15269,"Thomas, Justice Clarence",Corporation
15277,"Trilling, Lionel",Person
15331,ambivalence,Person
15373,"Brown, Norman O.",Person
15534,"Melville, Herman",Person
15536,mourning,Person
15692,art,Person
15852,religion,Person
16395,"Goethe, Johann Wolfgang von",Person
17350,discrimination,Person
17648,Social Security,Person
17805,Enlightenment,Person
17904,historiographies,Corporation
17934,Judaism,Person
18035,New Testament The,Corporation
18675,Nazis,Person
19435,"North, Oliver",Person
19800,"Clay, Henry",Person
19846,Declaration of Independence,Corporation
19982,"Keynes, John Maynard",Person
20355,"Hart, H. L. A.",Person
20488,Punishments,Person
20634,"Baker, James A. III",Person
20725,prejudice,Person
20734,"Dukakis, Michael",Person
20823,humanism,Person
20950,"McNamara, Robert",Person
21376,children,Person
21721,Instincts,Person
22333,authority,Person
22990,"Chodorow, Nancy J.",Person
23403,"Einstein, Albert",Person
23435,"Frankfurter, Justice Felix",Corporation
23552,"Kallen, Horace",Person
23945,Mattachine Society,Corporation
24010,"Falwell, Jerry",Person
24921,Languages,Person
25436,"Lewis, Oscar",Person
25529,"Rousseau, Jean Jacques",Person
26083,United States Constitution,Corporation
26232,National Organization for Women,Corporation
26260,"Reich, Robert",Person
27015,Medicaid,Corporation
27078,"Quayle, Vice President Dan",Corporation
27339,"Durkheim, Emile",Person
30289,"Bellah, Robert N.",Person
31343,"Lorde, Audre",Person
31419,"Islam, Nation of",Corporation
31601,"Bloom, Allan",Person
31965,Post-Traumatic Stress Disorder (PTSD),Corporation
32649,ACLU (American Civil Liberties Union),Corporation
35237,"Baldwin, James",Person
35278,"Cather, Willa",Person
35380,"Harrington, Michael",Person
36196,American Historical Association (AHA),Corporation
36582,"Ohmann, Richard",Person
37377,"Calvin, John",Person
41091,"Detroit, MI",Person
44329,"Hurston, Zora Neale",Person
145,pedagogy,Person
147,performance,Person
227,Austria,Person
228,authoritarianism,Person
247,digital divide,Person
261,European Union (EU),Corporation
265,film(s),Person
286,Information and communication technologies (ICTs),Corporation
295,journalism,Person
297,Latin America,Person
372,universalism,Person
396,"Alinsky, Saul",Person
397,"Allen, Woody",Person
433,"Brecht, Bertolt",Person
475,CNBC,Corporation
547,Georgia.,Person
588,"Handlin, Oscar",Person
593,Harvard University,Corporation
681,Latinos,Corporation
824,"New York City, NY",Corporation
881,Rockefeller Foundation,Corporation
928,Texas,Person
937,timing,Person
972,"Minnesota, University of",Corporation
1024,Al Jazeera,Person
1108,corporations,Person
1257,imperialism,Corporation
1357,minorities,Corporation
1406,Japan,Person
1452,"Rose, Tricia",Person
1471,Sesame Street,Corporation
1488,"Spielberg, Steven",Person
1491,"Spivak, Gayatri Chakravorty",Corporation
1510,Superman,Person
1558,Voltaire,Person
1568,"Wizard of Oz, The",Corporation
1610,communities of practice,Corporation
1613,copyright,Person
1618,"Diderot, Denis",Person
1651,"Lanham, Richard",Person
1655,"Lessig, Lawrence",Person
1662,"McLuhan, Marshall",Person
1705,USA Today,Corporation
1825,Boycotts,Person
1919,modernization,Person
2012,NBC,Corporation
2020,Nike,Corporation
2116,Africa,Person
2140,"Cameron, James",Person
2206,Egypt,Person
2211,Ethnocentrism,Corporation
2223,Fox News,Corporation
2244,public sphere,Corporation
2286,Iraq,Corporation
2328,Middle East,Person
2362,Phenomenology,Corporation
2383,Pragmatism,Person
2398,Relativism,Person
2402,"Riesman, David",Person
2403,Russia,Person
2415,Star Wars,Person
2430,"United Kingdom, Great Britain",Corporation
2458,Amazon.com,Corporation
2483,"Auerbach, Erich",Person
2587,The Christian Science Monitor,Corporation
2589,"Coleridge, Samuel Taylor",Corporation
2605,"Coombe, Rosemary",Person
2634,"cummings, e. e.",Person
2756,"Horowitz, David",Person
2776,"Chicago, IL",Person
2823,"Kingston, Maxine Hong",Person
2827,knowledge,Person
2851,"Lowell, Robert",Person
2889,Modern Language Association (MLA),Corporation
2893,Napster,Person
2908,"Nelson, Cary",Person
2914,New York Times Magazine,Corporation
3003,Quintillian,Person
3025,Sapir-Whorf hypothesis,Person
3030,"Scholes, Robert",Person
3057,"Story, Joseph",Person
3059,"Streisand, Barbra",Person
3079,Congress (U.S.),Corporation
3087,"Washington, University of",Corporation
3108,Wellesley College,Corporation
3217,"Bauman, Zygmunt",Person
3331,"New York, City University of",Corporation
3399,"Davis, Mike",Person
3834,National Lawyers Guild,Person
4290,Vietnam,Person
4298,"Volcker, Paul",Person
4339,"Wiesel, Elie",Person
4402,"Armstrong, Louis",Person
4439,Black Arts movement,Corporation
4441,"Bloom, Harold",Person
4464,"Burroughs, William",Person
4502,"Cose, Ellis",Person
4514,Dante,Person
4567,fascism,Person
4637,"Shakur, Tupac",Corporation
4684,"Jonson, Ben",Person
4998,"Warren, Robert Penn",Person
5008,"White, Hayden",Person
5010,"Whitehead, Alfred North",Person
5031,"Woolf, Virginia",Person
5314,affordances,Person
5385,fear,Person
5536,Afrika Bambaataa (hip-hop DJ),Corporation
5538,allegory,Person
5575,"Brown, Michael",Person
5588,"Christian, Barbara",Person
5609,commodification,Corporation
5643,"Cornell, Drucilla",Person
5727,"Harris, Cheryl",Person
5786,"Jackson, Michael",Person
5827,"Locke, Alain",Person
5890,"Picasso, Pablo",Person
5944,Reparations,Person
6001,"Stowe, Harriet Beecher",Person
6030,"Uncle Tom, Uncle Tom's Cabin",Corporation
6040,"Washington, Booker T.",Person
6083,"Bennett, Jane",Person
6136,ecologies,Corporation
6175,"Gould, Stephen Jay",Person
6195,information theory,Corporation
6288,"Serres, Michel",Person
6298,Silicon Valley,Person
6341,Web 2.0,Corporation
6346,Wired,Person
6390,disgust,Person
6538,"Agamben, Georgio",Person
7136,"Lakoff, G.",Person
7181,"Miller, D. A.",Person
7187,Second Life,Corporation
7435,"Vygotsky, L. S.",Person
7486,"Austen, Jane",Person
7512,Boy Scouts,Corporation
7521,"Bronte, Charlotte",Person
7523,"Bronte, Emily",Person
7540,celebrities,Corporation
7548,class,Person
7649,"Eliot, George",Person
7653,eugenics,Person
7705,French Revolution,Corporation
7743,"Horkheimer, Max",Person
7832,melodramas,Person
7842,"Mitchell, W. J. T.",Person
7851,murder,Person
7900,prisons,Person
7951,"Sontag, Susan",Person
8115,Bureau of Labor Statistics,Corporation
8283,International Monetary Fund,Person
8498,"Starr, Paul",Person
8531,Tumblr,Corporation
8644,"Birth of a Nation, The",Corporation
8663,Brandeis University,Corporation
9545,"Blumer, Herbert",Person
9624,Essentialism,Person
9635,"Fishkin, James S.",Person
9639,Fortune,Person
9670,"Gore, A.",Person
9706,Integration,Person
9726,Kuwait,Person
9758,meritocracy,Corporation
9780,"National Review, The",Corporation
9789,New Republic,Corporation
9848,Professionalism,Person
9850,Public goods,Corporation
9861,Reciprocity,Corporation
9903,"Simon, H. A.",Person
9918,"Sullivan, Andrew",Person
9927,Talmud(s),Person
10485,Minimum wage,Person
10610,"Ross, Andrew",Person
10821,Assessment(s),Person
10851,"Bernstein, Basil",Person
11095,"Elias, Norbert",Person
11510,media,Person
11728,School(s),Person
12010,"Alexander, Franz",Person
12011,"Alger, Horatio",Person
12052,"Beach, Joseph Warren",Person
12178,"Forster, E. M.",Person
12190,"Greene, Graham",Person
12258,Jobs,Person
12373,"Reich, Wilhelm",Person
12442,Stendhal,Person
12481,"Wharton, Edith",Person
12483,"Wolfe, Thomas",Person
12504,adolescence,Corporation
12556,American Psychiatric Association,Corporation
12572,anger,Person
12632,Bosnia,Person
12783,charisma,Person
12848,compassion,Person
12952,drugs,Person
13073,"""False self""",Person
13119,"""Great Society""",Person
13148,"Humphrey, Hubert",Person
13153,hysteria,Corporation
13178,intelligence,Corporation
13235,"Kennedy, Robert",Person
13277,maturity,Corporation
13281,"and McGovern, George.",Corporation
13340,neutrality,Corporation
13358,obsession,Person
13380,perception,Person
13601,Psycho-analysis,Person
13793,Republican(s),Person
13798,responsibility,Corporation
13813,Schizophrenia,Corporation
13855,Socialization,Person
13861,"Stalin, Joseph",Person
13876,Style,Person
13883,Superego,Person
13929,virtue,Person
13959,"Abraham, Karl",Person
13965,"Allport, Gordon",Person
14000,"Carlyle, Thomas",Person
14150,"Meissner, W. W.",Person
14229,"Sullivan, H. S.",Person
14357,"Friedan, Betty",Person
14387,"Heine, Heinrich",Person
14563,"Wagner, Richard",Person
14586,Afro-centrism,Corporation
14588,AMA (American Medical Association),Corporation
14610,Black studies,Corporation
14645,"Davis, David Brion",Corporation
14648,"de Man, Paul",Person
14650,Dissent,Person
14668,"Gingrich, Newt",Person
14671,"Graff, Gerald",Person
14674,"Grossberg, Lawrence",Person
14698,"Kimball, Roger",Person
14739,New Right,Corporation
14786,"Stein, Gertrude",Person
14846,"Benda, Julien",Person
14882,Cultural relativism,Corporation
14965,"Epstein, Richard A.",Person
15041,health insurance,Corporation
15048,"Hill, Anita",Person
15051,"Hook, Sidney",Person
15064,"Huyssen, Andreas",Person
15124,"Limbaugh, Rush",Person
15138,literature,Person
15199,"Podhoretz, Norman",Person
15252,"Strauss, Leo",Person
15304,Voting Rights Act (of 1965),Corporation
15337,Attachments,Corporation
15372,"Brooks, Cleanth",Person
15392,"Chase, Richard",Person
15419,"Edelson, Marshall",Person
15428,"Fairbairn, W. R. D.",Person
15435,Fantasies,Corporation
15451,"Fromm-Reichmann, Frieda",Person
15468,"Hartmann, Heinz",Person
15472,Homelessness,Corporation
15479,Individuation,Person
15482,Internalization,Person
15490,"Jacobson, Edith",Person
15532,masturbation,Person
15554,"""representation""",Corporation
15903,track(ing),Person
16042,"Hacker, Andrew",Person
16093,Loving v. Virginia,Person
16144,Sexual harassment,Corporation
16344,Denial,Person
16380,Father(s),Person
16510,"Mitchell, Stephen",Person
16587,Projection,Corporation
16810,Sublimations,Corporation
17033,"Green, Andre",Person
17080,"Kernberg, Otto",Person
17114,Moses,Person
17120,Oedipus complex,Corporation
17188,"Sullivan, Harry Stack",Person
17237,Amalgamated Clothing Workers,Corporation
17247,Americans with Disabilities Act,Corporation
17488,"Lewis, John L.",Person
17514,Medicare,Corporation
17547,National Labor Relations Board (NLRB),Corporation
17783,Conservative Judaism,Corporation
17882,Hebrew,Person
17944,"Kaplan, Mordecai",Person
17947,"Katz, Jacob",Person
17987,"Lieberman, Saul",Person
18036,"Nisbet, Robert",Person
18046,"Paine, Thomas",Person
18309,censorship,Person
18459,Hungary,Person
18708,patriotism,Corporation
18966,altruism,Person
19061,castration,Person
19484,"Pontalis, J. B.",Person
19489,primal scene,Corporation
19543,sadomasochism,Person
19747,American revolution,Corporation
19754,Articles of Confederation,Corporation
19774,"Bork, Robert H.",Person
19782,Calvinism,Person
19804,common law,Corporation
19879,Federalists,Person
20014,"Marshall, John",Person
20087,"Pinckney, Charles Cotesworth",Person
20133,separation of powers,Corporation
20205,"Wood, Gordon",Person
20214,Agent Orange,Person
20251,"Coleman, Jules",Person
20335,Fourteenth Amendment,Corporation
20382,Jim Crow legislation,Corporation
20384,justice,Person
20491,"Radin, Margaret Jane",Person
20549,"Singer, Peter",Person
20595,Regents of the University of California v. Bakke,Corporation
20596,Utilitarianism,Person
20795,General Motors Corp.,Corporation
21419,Darwinism,Person
21488,Dreams,Person
21520,Existentialism,Corporation
21638,Heroes,Person
21765,love,Person
21819,manhood,Person
21851,"Merleau-Ponty, Maurice",Person
21969,"Pope, Alexander",Person
22052,"Russell, Bertrand",Person
22256,Woman,Person
22318,Anti-Federalists,Person
22392,common sense,Corporation
22413,"Dickinson, John",Person
22429,evangelicalism,Person
22629,"Machiavelli, Niccolo",Corporation
22894,"Webster, Noah",Person
22927,Abstractions,Corporation
23058,"Frankl, Viktor",Person
23080,"Hallowell, A. I.",Person
23292,American Jewish Committee,Corporation
23293,American Jewish Congress,Corporation
23341,"Buber, Martin",Person
23432,"Ford, Henry",Person
23637,"Neusner, Jacob",Person
23720,"Roth, Philip",Person
24017,Same-sex marriage,Person
24225,Federal Bureau of Investigation,Corporation
24299,"Hoover, J. Edgar",Person
24859,Galileo,Person
24958,"Marcuse, Herbert",Person
25583,American Bar Association (ABA),Corporation
25827,"Filmer, Sir Robert",Person
26078,"Tushnet, Mark",Person
26111,AFDC (Aid to Families with Dependent Children),Corporation
26131,"Burger, Chief Justice",Corporation
26139,Child care,Corporation
26169,Fair Labor Standards Act (FLSA),Corporation
26214,"Kristol, Irving",Person
26329,"Calabresi, Guido",Corporation
26335,formalism,Person
26344,desegregation,Person
26377,Jim Crow,Person
26391,NAACP,Person
26429,"Sherry, Suzanna",Person
26657,Loss,Person
27114,segregation,Person
27325,"Descartes, Rene",Person
27349,ethnography,Person
27359,"Feyerabend, Paul",Person
27372,"French, Marilyn",Person
27379,"Gardner, Howard",Person
27639,speech,Person
27650,"Stengers, Isabelle",Person
28691,Consciousness raising,Corporation
29334,silence(ing),Person
30294,"Bernstein, Richard",Person
30564,"Garrison, William Lloyd",Person
30568,gay liberation,Corporation
30805,National Gay and Lesbian Task Force,Corporation
30806,natural law,Person
30942,Queer Nation,Corporation
31144,"White, James Boyd",Person
31336,"Lawrence, Charles",Person
31356,"Matsuda, Mari",Person
31406,"Minow, Martha",Person
31504,Title VII of the Civil Rights Act of 1964,Corporation
31518,"Wolf, Naomi",Person
31689,difference,Person
31720,feminism: backlash against,Corporation
31732,Frankfurt School,Corporation
31858,"Lasch, Christopher",Person
31918,New Left,Person
32025,"Silverman, Kaja",Person
32186,"Wolfe, Tom",Person
32244,Bureau of the Census,Corporation
32651,Equal protection doctrine,Corporation
32685,"Cheney, Richard",Person
33104,Women's studies,Corporation
33925,"Carmichael, Stokely",Corporation
33973,"Davis, Angela",Person
34243,"Myrdal, Gunnar",Corporation
34251,National Urban League,Corporation
35201,"Roosevelt, Eleanor",Person
35228,"Yeltsin, Boris N.",Person
35303,"Daly, M.",Person
35346,"Frye, Marilyn",Person
35682,desire,Person
35939,"Holland, Norman N.",Person
36404,"Hammond, James Henry",Person
36500,queer,Person
36784,"Woodward, C. Vann",Person
38602,"Brown, Rita Mae",Person
39984,"Rehnquist, Chief Justice William",Corporation
41273,sensation,Person
43862,"Adams, Henry",Person
44331,"Poe, Edgar Allan",Person
44337,"Latour, Bruno",Person
44599,"Engels, Friedrich",Person
46122,genocide,Person
46505,Introductory Lectures on Psycho-Analysis (Freud),Corporation
3,algorithms,Person
23,audiences,Person
46,collective,Corporation
66,curriculum,Corporation
72,digitization,Person
74,learning,Person
124,maps,Person
139,museums,Person
149,photography,Person
161,programming,Corporation
191,stories,Person
237,convergence,Corporation
254,egalitarianism,Person
263,social media,Person
279,Greece,Person
315,Netherlands,Corporation
360,Switzerland,Corporation
381,"Addams, Jane",Person
392,Alabama,Person
429,"Boal, Augusto",Person
467,Chicago Reader,Person
481,Common Ground,Corporation
568,Guatemalans,Person
623,"Horton, Myles",Person
701,"Levin, Richard",Person
730,low income,Corporation
735,"Lupton, Julia Reinhardt",Corporation
776,"Molotch, Harvey",Person
799,New Jersey,Person
842,North Carolina,Person
858,"Owen, Wilfred",Person
869,Pulitzer prize,Corporation
895,Save Our Children,Corporation
901,"Scobey, David",Person
931,"Austin, Texas",Corporation
932,"Houston, Texas",Corporation
933,Texas A&M University,Corporation
969,United Way,Corporation
977,University of Pennsylvania,Corporation
987,Urban Institute,Corporation
994,Washington,Person
1004,"Williams, Tennessee",Corporation
